Gene_Symbol	Gene_ID	Median_Tumor	Median_Normal	log2FC	FDR
AC007326.1	ENSG00000279560.1	1.65	5.5	-1.294	1.98E-34
AC007362.3	ENSG00000225216.6	0.04	0.14	-0.132	5.76E-15
AC007365.3	ENSG00000226756.1	0.13	0.09	0.052	1.42E-09
AC007381.3	ENSG00000228590.1	0.01	0	0.014	3.15E-05
AC007383.3	ENSG00000227946.1	3.55	5.19	-0.444	2.56E-22
AC007383.4	ENSG00000231955.1	0	0.5	-0.585	4.90E-44
AC007386.2	ENSG00000237638.1	0.01	0	0.014	1.03E-09
AC007386.3	ENSG00000227394.1	0	0.1	-0.138	4.25E-16
AC007386.4	ENSG00000232613.6	0.37	0.08	0.343	9.45E-34
AC007389.3	ENSG00000235725.1	0.03	0	0.043	2.51E-12
AC007392.3	ENSG00000232046.6	0	0.08	-0.111	1.03E-37
AC007392.4	ENSG00000237179.5	0	0.07	-0.098	4.85E-34
AC007405.4	ENSG00000234350.4	0.44	1.22	-0.624	3.93E-32
AC007405.6	ENSG00000239467.5	4.37	6.89	-0.555	2.73E-06
AC007566.10	ENSG00000244055.1	1.1	6.54	-1.844	3.79E-145
AC007620.3	ENSG00000242539.2	4.38	7.49	-0.658	7.23E-33
AC007743.1	ENSG00000233251.7	0.41	3.33	-1.619	9.82E-179
AC007750.5	ENSG00000236841.7	0.09	0.12	-0.039	6.62E-13
AC007773.2	ENSG00000267213.4	0.42	0.17	0.279	1.85E-36
AC007787.3	ENSG00000279044.1	0.04	0.38	-0.408	3.49E-59
AC007879.2	ENSG00000234902.6	0.29	0.39	-0.108	7.87E-05
AC007879.5	ENSG00000223725.6	0.27	0.38	-0.12	1.32E-04
AC007879.7	ENSG00000229647.1	0.8	0.36	0.404	7.29E-29
AC007880.1	ENSG00000234572.1	0.02	0	0.029	1.57E-04
AC007899.3	ENSG00000224891.1	0.06	0.16	-0.13	1.72E-22
AC007906.1	ENSG00000279018.1	0.08	0	0.111	3.85E-02
AC007950.2	ENSG00000276651.1	0.01	0.03	-0.028	4.67E-12
AC007952.4	ENSG00000266311.6	0.17	0.81	-0.629	5.45E-52
AC007952.5	ENSG00000228157.4	0.78	1.81	-0.659	5.00E-33
AC007952.6	ENSG00000197665.7	0.37	0.55	-0.178	1.13E-03
AC007966.1	ENSG00000226747.6	0.02	0.08	-0.082	7.78E-10
AC007969.5	ENSG00000233762.3	3.35	5.62	-0.606	2.82E-20
AC008063.2	ENSG00000230918.1	0.19	0.1	0.113	5.61E-12
AC008073.9	ENSG00000223754.1	0	0.08	-0.111	9.84E-32
AC008074.1	ENSG00000279644.1	0.14	0	0.189	1.99E-09
AC008074.3	ENSG00000223935.1	0.1	0.17	-0.089	1.15E-06
AC008079.10	ENSG00000280007.1	0.04	0.08	-0.054	8.82E-34
AC008088.4	ENSG00000260907.1	0.01	0	0.014	4.74E-01
AC008132.13	ENSG00000161103.11	0.11	0.05	0.08	5.92E-09
AC008132.14	ENSG00000239989.1	0.21	0	0.275	8.10E-06
AC008132.15	ENSG00000182824.7	0.03	0	0.043	3.67E-08
AC008268.1	ENSG00000235584.2	0.85	4.9	-1.673	6.70E-20
AC008268.2	ENSG00000237510.7	0.06	0.13	-0.092	1.67E-03
AC008277.1	ENSG00000223642.7	0	0.05	-0.07	5.36E-11
AC008280.3	ENSG00000241114.1	0.1	0.02	0.109	2.72E-01
AC008427.2	ENSG00000251583.1	0.02	0	0.029	6.94E-08
AC008592.3	ENSG00000251000.1	0.15	0.18	-0.037	7.87E-02
AC008592.4	ENSG00000251409.1	0	0.16	-0.214	1.13E-34
AC008592.5	ENSG00000250362.1	0.07	0	0.098	2.41E-09
AC008592.8	ENSG00000272021.1	0.07	0.2	-0.165	1.05E-10
AC008697.1	ENSG00000249738.6	0.21	0.08	0.164	1.23E-15
AC008746.12	ENSG00000267838.2	0.61	1.45	-0.606	1.67E-37
AC008746.5	ENSG00000235681.1	0.82	2.07	-0.754	2.70E-19
AC008781.7	ENSG00000228737.2	0.16	0.13	0.038	3.51E-02
AC008937.3	ENSG00000225230.1	0.03	0	0.043	1.63E-01
AC008982.2	ENSG00000269688.1	0.08	0.52	-0.493	4.06E-62
AC008984.2	ENSG00000275210.1	0	0.25	-0.322	1.11E-91
AC008985.1	ENSG00000278999.1	0.01	0.02	-0.014	6.36E-03
AC008993.2	ENSG00000282542.1	0.75	1.3	-0.394	1.14E-13
AC009005.2	ENSG00000267751.5	4.15	1.34	1.138	1.97E-62
AC009060.2	ENSG00000280006.1	0	0.24	-0.31	1.46E-20
AC009065.4	ENSG00000279473.1	3.09	0	2.032	8.39E-150
AC009095.4	ENSG00000237718.2	0.13	0.37	-0.278	6.51E-73
AC009120.11	ENSG00000275236.1	0.04	0.03	0.014	2.29E-05
AC009120.3	ENSG00000239763.2	0.7	1.81	-0.725	2.27E-52
AC009120.5	ENSG00000260884.1	0.51	1.15	-0.51	1.36E-39
AC009120.6	ENSG00000259972.2	3.99	12.13	-1.396	1.28E-72
AC009133.17	ENSG00000260719.1	0.06	0.14	-0.105	6.90E-17
AC009133.21	ENSG00000275857.1	1.72	2.64	-0.42	9.82E-06
AC009228.1	ENSG00000242628.5	0	0.42	-0.506	5.18E-16
AC009237.11	ENSG00000236431.1	0.94	0.56	0.315	8.96E-19
AC009237.17	ENSG00000235959.1	0.32	0.43	-0.116	4.89E-03
AC009237.8	ENSG00000229689.3	1.87	0.92	0.58	8.70E-48
AC009238.7	ENSG00000227120.1	0.32	0.44	-0.126	6.15E-03
AC009245.3	ENSG00000230383.1	0.62	0.31	0.306	1.69E-22
AC009299.2	ENSG00000235724.8	0.23	0.48	-0.267	1.94E-38
AC009299.3	ENSG00000227403.1	3.98	1.42	1.041	9.17E-59
AC009299.5	ENSG00000232320.6	0.87	1.48	-0.407	6.26E-17
AC009303.1	ENSG00000235066.6	0	0.07	-0.098	9.77E-36
AC009303.2	ENSG00000279227.1	0.69	0.99	-0.236	9.28E-26
AC009336.19	ENSG00000278500.1	0.03	0.06	-0.041	4.32E-01
AC009403.2	ENSG00000216895.8	4.46	4.36	0.027	1.75E-04
AC009404.2	ENSG00000236255.1	0.76	1.67	-0.601	9.43E-40
AC009473.1	ENSG00000234141.1	0.24	0.21	0.035	4.93E-04
AC009495.2	ENSG00000235192.1	0.22	0.5	-0.298	2.75E-30
AC009495.3	ENSG00000232411.1	0	0.15	-0.202	1.25E-33
AC009501.4	ENSG00000231609.5	0.29	0.78	-0.465	2.54E-42
AC009502.4	ENSG00000227308.2	0.03	0	0.043	1.41E-01
AC009505.2	ENSG00000235522.6	0.04	0.14	-0.132	1.09E-38
AC009506.1	ENSG00000224152.1	2.04	2.4	-0.161	1.58E-02
AC009542.2	ENSG00000231794.5	0.09	0.38	-0.34	6.24E-72
AC009948.5	ENSG00000223960.6	6.41	10.94	-0.688	3.16E-44
AC009948.7	ENSG00000238082.1	0.11	0.19	-0.1	3.39E-11
AC009950.1	ENSG00000280755.1	1.24	2.01	-0.426	1.38E-05
AC009950.2	ENSG00000225963.7	1.11	2.64	-0.787	2.02E-60
AC009961.2	ENSG00000230783.1	0.03	0	0.043	2.46E-02
AC010127.3	ENSG00000236107.7	0.09	0.51	-0.47	2.98E-26
AC010132.11	ENSG00000234983.1	0.06	0.16	-0.13	7.84E-19
AC010136.2	ENSG00000223923.1	0.46	0.71	-0.228	8.15E-06
AC010148.1	ENSG00000235726.5	0.16	0.03	0.171	1.34E-27
AC010168.1	ENSG00000281457.1	8.15	46.211	-2.367	1.13E-33
AC010226.4	ENSG00000249249.1	0.92	1.93	-0.61	1.13E-46
AC010240.2	ENSG00000235253.1	0.03	0.04	-0.014	4.08E-07
AC010287.1	ENSG00000279816.1	0	0.1	-0.138	7.12E-39
AC010468.1	ENSG00000214784.4	0.65	0.3	0.344	5.82E-25
AC010492.2	ENSG00000235081.1	0.05	0.24	-0.24	1.12E-53
AC010504.2	ENSG00000267219.1	0.35	0.32	0.032	7.14E-03
AC010524.2	ENSG00000268686.1	0.3	0.11	0.228	6.23E-36
AC010524.4	ENSG00000268157.1	0	0.12	-0.164	9.18E-26
AC010525.4	ENSG00000267117.1	0.09	0.34	-0.298	1.96E-50
AC010547.9	ENSG00000261611.5	0.26	0.76	-0.482	2.92E-67
AC010642.1	ENSG00000267216.1	0.34	0.45	-0.114	8.60E-05
AC010733.5	ENSG00000232713.2	1.25	2.84	-0.771	1.45E-57
AC010761.13	ENSG00000265205.1	0.32	0.69	-0.357	2.93E-18
AC010761.8	ENSG00000264577.1	1.4	3.44	-0.887	1.43E-52
AC010761.9	ENSG00000265474.1	1.37	2.68	-0.635	6.01E-16
AC010883.5	ENSG00000234936.1	0.54	1.47	-0.682	1.62E-42
AC010886.2	ENSG00000224414.1	0	0.01	-0.014	1.05E-24
AC010890.1	ENSG00000226953.7	0.11	0.4	-0.335	1.05E-05
AC010894.3	ENSG00000226853.2	1.99	1.02	0.566	1.10E-45
AC010900.2	ENSG00000232479.2	0.07	0.06	0.014	1.81E-01
AC010976.2	ENSG00000231731.7	0.8	2.84	-1.093	3.74E-87
AC010980.2	ENSG00000237732.9	0.47	0.74	-0.243	3.21E-03
AC011239.2	ENSG00000279526.1	0.04	0.12	-0.107	5.21E-26
AC011242.5	ENSG00000229695.1	0	0.05	-0.07	1.27E-25
AC011290.5	ENSG00000236015.1	0.74	1.2	-0.338	2.25E-14
AC011294.3	ENSG00000233539.5	0.42	0	0.506	1.03E-57
AC011298.2	ENSG00000219159.4	0.02	0	0.029	4.06E-08
AC011322.1	ENSG00000233487.6	0.16	0.06	0.13	2.75E-21
AC011330.13	ENSG00000275601.1	2.22	1.89	0.156	1.23E-04
AC011330.5	ENSG00000249839.1	0.07	0.18	-0.141	8.32E-13
AC011515.2	ENSG00000225370.1	0.04	0.1	-0.081	3.19E-13
AC011516.2	ENSG00000268038.1	0	0.1	-0.138	1.35E-10
AC011530.4	ENSG00000268434.5	0	0.21	-0.275	6.48E-37
AC011551.3	ENSG00000268423.4	0.11	0	0.151	6.54E-05
AC011558.5	ENSG00000279753.1	56.379	68.711	-0.281	3.63E-06
AC011737.2	ENSG00000204196.5	31.519	16.45	0.898	4.58E-45
AC011738.4	ENSG00000231638.1	0.02	0	0.029	1.81E-10
AC011747.3	ENSG00000231435.1	0.05	0.02	0.042	1.53E-09
AC011747.4	ENSG00000236008.1	0.41	0.07	0.398	7.97E-26
AC011893.3	ENSG00000226806.1	0.03	0	0.043	2.80E-44
AC011899.9	ENSG00000233038.5	0.77	1.48	-0.487	6.58E-21
AC011933.2	ENSG00000228007.1	0.14	0	0.189	1.21E-07
AC011997.1	ENSG00000222017.1	0.07	0	0.098	7.99E-20
AC012005.3	ENSG00000279274.1	0.33	0	0.411	1.21E-35
AC012065.1	ENSG00000279307.1	1.17	0.38	0.653	5.04E-74
AC012066.1	ENSG00000213197.3	0.05	0.14	-0.119	2.77E-28
AC012074.2	ENSG00000235072.2	0.19	0.29	-0.116	1.10E-04
AC012314.8	ENSG00000237017.1	0.19	0.48	-0.315	7.25E-45
AC012358.4	ENSG00000227799.1	0.64	0.8	-0.134	3.70E-09
AC012358.7	ENSG00000203327.2	0.09	0.22	-0.163	1.44E-34
AC012358.8	ENSG00000240401.8	1.07	1.5	-0.272	7.06E-06
AC012360.4	ENSG00000235319.1	0.05	0	0.07	1.33E-06
AC012360.6	ENSG00000238273.3	0.14	0.11	0.038	1.86E-04
AC012363.7	ENSG00000236878.1	0.04	0.15	-0.145	2.87E-32
AC012363.8	ENSG00000227788.1	0.03	0.1	-0.095	6.47E-26
AC012442.6	ENSG00000228251.1	0.19	0.15	0.049	1.01E-01
AC012485.2	ENSG00000232306.1	0.04	0	0.057	3.88E-09
AC012501.3	ENSG00000242575.1	0.03	0	0.043	2.17E-18
AC012512.1	ENSG00000226539.1	0.05	0.07	-0.027	7.46E-04
AC012531.25	ENSG00000260597.1	0.03	0.02	0.014	2.83E-06
AC012613.2	ENSG00000253406.1	0	0.02	-0.029	6.48E-34
AC013264.2	ENSG00000231621.1	0.74	1.47	-0.505	4.40E-11
AC013268.3	ENSG00000235721.1	0.28	0.05	0.286	2.34E-36
AC013275.2	ENSG00000231013.1	0.27	0.29	-0.023	4.16E-03
AC013444.1	ENSG00000229781.1	0.01	0.03	-0.028	2.66E-01
AC013460.1	ENSG00000229727.6	0.01	0.06	-0.07	8.68E-24
AC013463.2	ENSG00000236283.3	0.27	0.32	-0.056	1.02E-01
AC013472.3	ENSG00000205500.8	0.01	0.02	-0.014	1.84E-06
AC013474.4	ENSG00000235128.1	0	0.15	-0.202	8.28E-73
AC015849.14	ENSG00000271268.1	0.04	0	0.057	2.20E-04
AC015849.16	ENSG00000270977.1	0.08	0.01	0.097	3.15E-31
AC015849.19	ENSG00000270871.1	0.49	1.77	-0.895	1.75E-84
AC015849.2	ENSG00000270240.2	0.03	0.09	-0.082	1.15E-06
AC015971.2	ENSG00000228363.2	0.15	0.65	-0.521	8.79E-70
AC015987.1	ENSG00000224746.1	0.09	0.16	-0.09	3.29E-03
AC016142.1	ENSG00000280141.1	0.1	0	0.138	2.67E-19
AC016292.3	ENSG00000108958.4	2.51	0.73	1.021	1.89E-98
AC016549.1	ENSG00000281325.1	0.01	0.03	-0.028	2.27E-10
AC016582.2	ENSG00000225868.6	0.1	0.08	0.026	2.32E-13
AC016629.3	ENSG00000269600.1	0.09	0.14	-0.065	9.68E-02
AC016629.7	ENSG00000269032.1	1.35	0.46	0.687	2.29E-05
AC016700.5	ENSG00000231327.1	1.08	0.53	0.443	8.78E-39
AC016708.2	ENSG00000230076.1	1.19	0.81	0.275	1.98E-11
AC016712.2	ENSG00000235225.1	0.21	0.2	0.012	1.50E-03
AC016722.4	ENSG00000228925.1	0.26	0.84	-0.546	7.80E-92
AC016734.2	ENSG00000228305.2	1.31	0.74	0.409	4.92E-22
AC016735.2	ENSG00000231826.5	0.01	0.17	-0.212	2.50E-07
AC016738.4	ENSG00000223947.1	0.08	0.27	-0.234	5.22E-35
AC016739.2	ENSG00000218175.2	22.36	15.73	0.482	1.59E-15
AC016745.3	ENSG00000234997.1	0	0.21	-0.275	2.74E-22
AC016747.3	ENSG00000212978.6	5.01	2.54	0.764	2.29E-50
AC016757.3	ENSG00000186235.10	0.47	1.11	-0.521	1.46E-16
AC016831.7	ENSG00000233559.1	0.13	0.2	-0.087	1.10E-02
AC016907.3	ENSG00000233862.5	0.01	0.02	-0.014	3.34E-13
AC016909.1	ENSG00000233729.1	0	0.01	-0.014	3.67E-26
AC016910.1	ENSG00000232377.1	0	0.06	-0.084	1.56E-49
AC016995.3	ENSG00000231367.5	0.26	0.32	-0.067	5.23E-02
AC016999.2	ENSG00000229915.1	0	0.06	-0.084	9.55E-11
AC017002.1	ENSG00000240350.2	0.91	0.67	0.194	3.22E-09
AC017002.2	ENSG00000224959.1	0.1	0.22	-0.149	8.32E-29
AC017006.2	ENSG00000232696.1	0	0.07	-0.098	1.53E-36
AC017060.1	ENSG00000226598.1	1.33	1.31	0.012	4.35E-04
AC017074.2	ENSG00000227359.1	0.53	0.45	0.077	1.84E-08
AC017101.10	ENSG00000227227.1	0	0.09	-0.124	3.64E-28
AC017104.6	ENSG00000224376.1	1.12	2.73	-0.815	2.05E-43
AC017116.11	ENSG00000239775.1	1.24	3.47	-0.997	9.02E-36
AC018442.1	ENSG00000235683.1	0.01	0.03	-0.028	6.35E-13
AC018462.3	ENSG00000242735.1	0	0.87	-0.903	5.38E-55
AC018463.4	ENSG00000230154.1	0.03	0.06	-0.041	1.54E-09
AC018641.7	ENSG00000226468.2	0.05	0	0.07	9.81E-25
AC018647.3	ENSG00000227544.8	0.13	1.1	-0.894	4.29E-91
AC018738.2	ENSG00000237039.1	1.58	0.49	0.792	1.90E-14
AC018755.16	ENSG00000269388.1	0.33	0.55	-0.221	1.06E-10
AC018755.18	ENSG00000268500.5	0	0.03	-0.043	2.89E-19
AC018766.4	ENSG00000267896.1	3.14	10.81	-1.512	5.84E-82
AC018766.6	ENSG00000268047.1	0.09	0.38	-0.34	5.36E-50
AC018804.6	ENSG00000227632.2	0.2	0.1	0.126	1.67E-04
AC018804.7	ENSG00000213225.7	0.08	0.2	-0.152	1.04E-02
AC018816.3	ENSG00000235978.6	2.01	0.97	0.612	2.17E-31
AC018865.5	ENSG00000217289.3	0.04	0	0.057	6.10E-19
AC018890.6	ENSG00000236449.1	0.02	0.06	-0.055	4.81E-07
AC018892.9	ENSG00000188383.8	0.03	0	0.043	9.77E-03
AC019097.7	ENSG00000231822.1	0.65	0.57	0.072	4.45E-04
AC019117.1	ENSG00000236318.1	0.27	0.16	0.131	3.29E-12
AC019117.2	ENSG00000236039.1	2.58	2.55	0.012	4.43E-02
AC019172.2	ENSG00000227363.1	0	0.05	-0.07	1.47E-18
AC019181.2	ENSG00000233255.1	0.16	0.21	-0.061	4.74E-01
AC019181.3	ENSG00000224331.2	0.23	0.94	-0.657	4.29E-44
AC019186.1	ENSG00000234584.1	0.15	0.27	-0.143	8.57E-27
AC020571.3	ENSG00000229056.2	0.87	0.66	0.172	5.06E-06
AC020594.5	ENSG00000237133.1	0.43	0.76	-0.3	2.36E-09
AC020951.1	ENSG00000278897.1	0.07	0.35	-0.335	2.14E-74
AC021066.1	ENSG00000281415.1	152.778	98.851	0.623	1.44E-04
AC021188.4	ENSG00000230747.1	0.23	0.52	-0.305	1.02E-37
AC021218.2	ENSG00000204876.4	0.08	0	0.111	3.53E-17
AC021224.1	ENSG00000262477.1	1.54	2.05	-0.264	6.68E-02
AC022007.5	ENSG00000206567.9	1.92	1.68	0.124	1.27E-02
AC022153.1	ENSG00000267623.3	0	0.08	-0.111	4.49E-20
AC022154.7	ENSG00000268093.1	0.18	0.32	-0.162	1.08E-15
AC022182.1	ENSG00000254777.5	0.07	0	0.098	3.45E-16
AC022182.3	ENSG00000254802.1	0.24	0.21	0.035	2.48E-03
AC022210.2	ENSG00000213399.3	0.45	0.96	-0.435	3.85E-24
AC022405.1	ENSG00000279084.1	0.03	0	0.043	1.37E-04
AC022819.3	ENSG00000259921.1	0.03	0.17	-0.184	1.98E-76
AC023115.2	ENSG00000235885.7	0.01	0.11	-0.136	1.49E-36
AC023271.1	ENSG00000228513.1	0.06	0.19	-0.167	8.69E-43
AC023590.1	ENSG00000225885.6	0.16	0.05	0.144	3.38E-13
AC024560.2	ENSG00000236833.1	0.27	0.23	0.046	2.68E-07
AC024560.3	ENSG00000214135.8	6.11	22.07	-1.698	2.30E-103
AC024592.12	ENSG00000267740.5	1.65	1.09	0.342	1.15E-22
AC024592.9	ENSG00000267709.1	0.09	0.04	0.068	2.07E-08
AC024937.4	ENSG00000231464.1	0.08	0.07	0.013	3.99E-03
AC024937.6	ENSG00000231443.2	0.63	0.98	-0.281	6.50E-05
AC025048.1	ENSG00000280852.1	0.4	0.58	-0.174	3.34E-03
AC025165.8	ENSG00000224713.4	0.13	1.28	-1.013	6.17E-141
AC025171.1	ENSG00000215068.7	1.62	1.86	-0.126	6.14E-02
AC025335.1	ENSG00000179859.7	1.89	3.85	-0.747	6.94E-55
AC025918.2	ENSG00000225798.1	0	0.11	-0.151	5.47E-20
AC026150.6	ENSG00000260784.1	0.16	0.66	-0.517	1.00E-59
AC026150.8	ENSG00000260693.1	0.67	1.82	-0.756	1.43E-74
AC026202.3	ENSG00000233912.1	0.58	0.38	0.195	1.89E-12
AC026271.5	ENSG00000174977.8	0.8	0.62	0.152	3.00E-13
AC026904.1	ENSG00000233858.4	0	0.01	-0.014	5.90E-07
AC027601.1	ENSG00000260005.6	0.29	1.21	-0.777	4.97E-89
AC027612.1	ENSG00000232531.3	0.04	0.05	-0.014	3.17E-01
AC027612.4	ENSG00000223703.1	0.01	0	0.014	7.04E-11
AC027612.6	ENSG00000143429.9	20.639	11.89	0.747	2.72E-31
AC034220.3	ENSG00000233006.6	2.05	4.59	-0.874	1.01E-56
AC034243.1	ENSG00000253404.1	0.36	0.2	0.181	6.93E-06
AC037459.4	ENSG00000248235.6	0.08	0.3	-0.267	8.36E-24
AC046143.3	ENSG00000229334.1	0.57	1.86	-0.865	2.44E-92
AC053503.12	ENSG00000280323.1	0	0.32	-0.401	2.54E-84
AC053503.4	ENSG00000229525.1	0.1	0	0.138	2.62E-44
AC058791.1	ENSG00000226380.7	0.43	1.42	-0.759	6.95E-38
AC060834.2	ENSG00000197320.5	0.1	0.34	-0.285	1.32E-18
AC061992.2	ENSG00000267737.1	0.63	0.29	0.337	1.63E-32
AC062017.1	ENSG00000222020.2	0.86	1.6	-0.483	1.55E-19
AC062028.1	ENSG00000145063.14	0.09	0	0.124	7.91E-26
AC062029.1	ENSG00000234028.3	0.81	0.66	0.125	4.99E-14
AC063976.7	ENSG00000224431.1	0.05	0.25	-0.252	8.46E-56
AC064834.3	ENSG00000234919.1	0	0.09	-0.124	3.41E-14
AC064836.3	ENSG00000226261.1	0.06	0.11	-0.066	2.04E-10
AC064850.4	ENSG00000235651.1	0.04	0.02	0.028	3.87E-07
AC064875.2	ENSG00000225649.5	0.03	0.12	-0.121	1.31E-29
AC067945.4	ENSG00000231858.5	0.13	0.52	-0.428	3.84E-52
AC068134.10	ENSG00000251485.1	1.01	1.46	-0.291	5.14E-16
AC068134.6	ENSG00000237087.1	0	0.1	-0.138	5.42E-28
AC068134.8	ENSG00000224516.5	0	0.19	-0.251	1.97E-40
AC068279.3	ENSG00000224881.1	0.09	0	0.124	2.25E-09
AC068282.3	ENSG00000236682.1	0.15	0.11	0.051	2.11E-02
AC068491.2	ENSG00000229118.1	0.03	0.07	-0.055	2.86E-09
AC068499.10	ENSG00000268650.3	0.36	0.41	-0.052	8.86E-02
AC068522.4	ENSG00000242970.2	0.47	0.29	0.188	5.09E-05
AC068533.7	ENSG00000249319.2	0.56	0.72	-0.141	1.59E-01
AC068580.5	ENSG00000229512.1	0	2.27	-1.709	3.38E-78
AC068580.6	ENSG00000235027.1	1.14	4.78	-1.433	5.32E-74
AC068831.10	ENSG00000214432.9	0.21	0.13	0.099	1.16E-17
AC068831.15	ENSG00000259661.1	5.94	17.94	-1.448	9.80E-73
AC068831.16	ENSG00000278514.1	0.07	0	0.098	1.04E-08
AC068831.6	ENSG00000258384.1	0.12	0.19	-0.087	1.02E-31
AC069063.2	ENSG00000279380.1	0	0.03	-0.043	1.02E-12
AC069213.1	ENSG00000224769.1	3.37	1.68	0.705	3.57E-32
AC069282.6	ENSG00000225507.1	3.22	6.54	-0.837	1.56E-52
AC069363.1	ENSG00000277089.4	0.48	1.08	-0.491	1.16E-24
AC069368.3	ENSG00000249240.2	0.05	0.22	-0.216	2.68E-34
AC069513.4	ENSG00000229178.1	0.17	0.11	0.076	2.16E-09
AC072052.7	ENSG00000231359.3	1.21	0.74	0.345	4.79E-13
AC072062.1	ENSG00000229267.2	0.33	0.03	0.369	3.03E-63
AC073046.25	ENSG00000235499.1	1.2	1.14	0.04	4.72E-02
AC073052.1	ENSG00000228446.2	0.13	0.54	-0.447	4.74E-60
AC073063.10	ENSG00000228335.1	0.61	0.78	-0.145	3.46E-04
AC073072.5	ENSG00000179428.2	0.18	0.35	-0.194	1.35E-16
AC073072.7	ENSG00000234513.1	0.4	0	0.485	1.38E-46
AC073130.1	ENSG00000237870.6	0.03	0.07	-0.055	1.69E-04
AC073130.3	ENSG00000243243.5	0.09	0.49	-0.451	1.63E-89
AC073133.1	ENSG00000233878.1	0.01	0.05	-0.056	4.33E-22
AC073133.2	ENSG00000228569.1	0	0.09	-0.124	3.21E-21
AC073254.1	ENSG00000237126.8	1.01	0.78	0.175	5.44E-15
AC073257.2	ENSG00000237614.1	0.2	0.12	0.1	3.97E-08
AC073283.4	ENSG00000234690.6	2.6	1.3	0.646	2.70E-31
AC073283.7	ENSG00000225187.1	0.08	0.17	-0.115	2.00E-02
AC073316.1	ENSG00000236708.1	0.07	0.29	-0.27	5.30E-49
AC073316.2	ENSG00000231892.1	0.06	0	0.084	2.43E-06
AC073326.3	ENSG00000228540.1	0.07	0.1	-0.04	9.36E-03
AC073410.1	ENSG00000236047.1	0.26	0.96	-0.637	2.01E-51
AC073635.5	ENSG00000250990.1	0	0.1	-0.138	1.15E-18
AC073850.6	ENSG00000229436.1	0	1.71	-1.438	3.86E-104
AC073869.1	ENSG00000233087.6	0.08	0.02	0.082	3.04E-06
AC073869.20	ENSG00000217950.4	0.06	0.05	0.014	1.13E-02
AC074011.2	ENSG00000230730.1	0	0.04	-0.057	3.44E-29
AC074117.10	ENSG00000234072.1	2.79	4.85	-0.626	3.91E-19
AC074117.13	ENSG00000235267.1	0.05	0	0.07	3.06E-01
AC074183.3	ENSG00000280325.1	0.42	0.43	-0.01	1.09E-01
AC074212.6	ENSG00000267395.5	0.95	1.99	-0.617	4.45E-32
AC074286.1	ENSG00000213963.6	1.09	1.38	-0.187	2.35E-06
AC074289.1	ENSG00000225889.7	1.47	7.73	-1.822	4.71E-108
AC074391.1	ENSG00000204929.11	0.07	0.11	-0.053	8.74E-06
AC078883.3	ENSG00000232788.1	0.68	0.7	-0.017	2.04E-01
AC078899.1	ENSG00000213985.4	0.11	0.1	0.013	2.15E-03
AC078941.1	ENSG00000236780.5	0.09	0.13	-0.052	6.00E-02
AC079145.4	ENSG00000227210.1	0.2	0.12	0.1	2.87E-14
AC079250.1	ENSG00000230979.3	1.94	1.2	0.418	2.49E-17
AC079305.10	ENSG00000222043.2	0	0.24	-0.31	1.07E-46
AC079325.6	ENSG00000231027.1	0.06	0.41	-0.412	3.94E-66
AC079354.3	ENSG00000222035.3	0	0.01	-0.014	1.91E-07
AC079354.5	ENSG00000231903.1	0.19	0	0.251	1.80E-14
AC079466.1	ENSG00000266976.1	0	0.01	-0.014	4.11E-02
AC079610.2	ENSG00000196096.3	0.02	0.03	-0.014	2.61E-02
AC079630.2	ENSG00000223914.1	0.24	1.92	-1.236	2.40E-23
AC079630.4	ENSG00000225342.2	1.61	7.64	-1.727	2.02E-30
AC079767.4	ENSG00000224137.1	1.84	1.15	0.402	1.78E-12
AC079776.2	ENSG00000214100.8	0	0.33	-0.411	6.94E-55
AC079779.4	ENSG00000228643.1	0	0.94	-0.956	1.96E-108
AC079781.7	ENSG00000232032.1	0	1.96	-1.566	2.09E-36
AC079807.2	ENSG00000233230.1	0.71	1.38	-0.477	8.82E-32
AC079922.2	ENSG00000231747.1	1.54	0.43	0.829	4.04E-37
AC079922.3	ENSG00000237753.1	0.69	1.28	-0.432	4.76E-36
AC083843.1	ENSG00000259820.1	0.94	3.94	-1.348	2.95E-92
AC083843.4	ENSG00000279518.1	0.45	1.85	-0.975	1.00E-55
AC083862.6	ENSG00000223500.1	0	0.04	-0.057	2.87E-20
AC083873.4	ENSG00000237821.1	0.39	0.36	0.031	3.31E-04
AC083884.8	ENSG00000232729.7	0.12	0.2	-0.1	1.51E-04
AC083899.3	ENSG00000204745.3	1.77	1.44	0.183	1.23E-14
AC083900.1	ENSG00000225111.1	0.34	0.21	0.147	2.90E-09
AC083949.1	ENSG00000224875.2	0.36	0.38	-0.021	2.50E-02
AC084219.2	ENSG00000267022.1	0.04	0.16	-0.158	6.45E-09
AC084219.3	ENSG00000267163.1	0.21	0.75	-0.532	6.56E-70
AC084219.4	ENSG00000186019.10	0.33	0.26	0.078	2.97E-07
AC084809.2	ENSG00000226377.1	0.46	0.23	0.247	1.94E-26
AC084809.3	ENSG00000236377.1	0.25	0.15	0.12	3.12E-15
AC087163.2	ENSG00000232344.2	0.11	0.28	-0.206	1.49E-34
AC087380.14	ENSG00000224295.2	0.05	0.12	-0.093	1.12E-29
AC087491.2	ENSG00000214546.3	0.09	0.06	0.04	3.13E-03
AC090044.2	ENSG00000224239.1	0.1	0.99	-0.855	3.13E-102
